Date,Time (GMT),Verified (ft)
10/14/2012,17:54,-3.31
10/14/2012,18:00,-3.3
10/14/2012,18:06,-3.31
10/14/2012,18:12,-3.26
10/14/2012,18:18,-3.25
10/14/2012,18:24,-3.22
10/14/2012,18:30,-3.29
10/14/2012,18:36,-3.24
10/14/2012,18:42,-3.18
10/14/2012,18:48,-3.19
10/14/2012,18:54,-3.2
10/14/2012,19:00,-3.15
10/14/2012,19:06,-3.06
10/14/2012,19:12,-3
10/14/2012,19:18,-2.89
10/14/2012,19:24,-2.88
10/14/2012,19:30,-2.77
10/14/2012,19:36,-2.76
10/14/2012,19:42,-2.66
10/14/2012,19:48,-2.62
10/14/2012,19:54,-2.49
10/14/2012,20:00,-2.47
10/14/2012,20:06,-2.32
10/14/2012,20:12,-2.27
10/14/2012,20:18,-2.13
10/14/2012,20:24,-2.07
10/14/2012,20:30,-1.95
10/14/2012,20:36,-1.84
10/14/2012,20:42,-1.69
10/14/2012,20:48,-1.59
10/14/2012,20:54,-1.49
10/14/2012,21:00,-1.38
10/14/2012,21:06,-1.24
10/14/2012,21:12,-1.09
10/14/2012,21:18,-0.97
10/14/2012,21:24,-0.88
10/14/2012,21:30,-0.77
10/14/2012,21:36,-0.61
10/14/2012,21:42,-0.49
10/14/2012,21:48,-0.33
10/14/2012,21:54,-0.16
10/14/2012,22:00,-0.04
10/14/2012,22:06,0.04
10/14/2012,22:12,0.2
10/14/2012,22:18,0.32
10/14/2012,22:24,0.45
10/14/2012,22:30,0.58
10/14/2012,22:36,0.68
10/14/2012,22:42,0.76
10/14/2012,22:48,0.84
10/14/2012,22:54,0.95
10/14/2012,23:00,1.02
10/14/2012,23:06,1.12
10/14/2012,23:12,1.19
10/14/2012,23:18,1.25
10/14/2012,23:24,1.3
10/14/2012,23:30,1.36
10/14/2012,23:36,1.41
10/14/2012,23:42,1.43
10/14/2012,23:48,1.49
10/14/2012,23:54,1.53
10/15/2012,0:00,1.56
10/15/2012,0:06,1.58
10/15/2012,0:12,1.6
10/15/2012,0:18,1.61
10/15/2012,0:24,1.62
10/15/2012,0:30,1.61
10/15/2012,0:36,1.57
10/15/2012,0:42,1.58
10/15/2012,0:48,1.57
10/15/2012,0:54,1.52
10/15/2012,1:00,1.47
10/15/2012,1:06,1.42
10/15/2012,1:12,1.39
10/15/2012,1:18,1.35
10/15/2012,1:24,1.33
10/15/2012,1:30,1.27
10/15/2012,1:36,1.19
10/15/2012,1:42,1.15
10/15/2012,1:48,1.06
10/15/2012,1:54,0.99
10/15/2012,2:00,0.9
10/15/2012,2:06,0.79
10/15/2012,2:12,0.72
10/15/2012,2:18,0.64
10/15/2012,2:24,0.56
10/15/2012,2:30,0.45
10/15/2012,2:36,0.33
10/15/2012,2:42,0.21
10/15/2012,2:48,0.14
10/15/2012,2:54,0.03
10/15/2012,3:00,-0.1
10/15/2012,3:06,-0.25
10/15/2012,3:12,-0.38
10/15/2012,3:18,-0.52
10/15/2012,3:24,-0.65
10/15/2012,3:30,-0.76
10/15/2012,3:36,-0.91
10/15/2012,3:42,-1.03
10/15/2012,3:48,-1.19
10/15/2012,3:54,-1.33
10/15/2012,4:00,-1.47
10/15/2012,4:06,-1.61
10/15/2012,4:12,-1.73
10/15/2012,4:18,-1.82
10/15/2012,4:24,-1.97
10/15/2012,4:30,-2.09
10/15/2012,4:36,-2.22
10/15/2012,4:42,-2.35
10/15/2012,4:48,-2.47
10/15/2012,4:54,-2.6
10/15/2012,5:00,-2.7
10/15/2012,5:06,-2.81
10/15/2012,5:12,-2.93
10/15/2012,5:18,-3.01
10/15/2012,5:24,-3.09
10/15/2012,5:30,-3.16
10/15/2012,5:36,-3.21
10/15/2012,5:42,-3.27
10/15/2012,5:48,-3.33
10/15/2012,5:54,-3.36
10/15/2012,6:00,-3.4
10/15/2012,6:06,-3.42
10/15/2012,6:12,-3.48
10/15/2012,6:18,-3.5
10/15/2012,6:24,-3.5
10/15/2012,6:30,-3.5
10/15/2012,6:36,-3.5
10/15/2012,6:42,-3.47
10/15/2012,6:48,-3.43
10/15/2012,6:54,-3.41
10/15/2012,7:00,-3.37
10/15/2012,7:06,-3.29
10/15/2012,7:12,-3.23
10/15/2012,7:18,-3.17
10/15/2012,7:24,-3.09
10/15/2012,7:30,-3.02
10/15/2012,7:36,-2.95
10/15/2012,7:42,-2.89
10/15/2012,7:48,-2.82
10/15/2012,7:54,-2.75
10/15/2012,8:00,-2.67
10/15/2012,8:06,-2.59
10/15/2012,8:12,-2.53
10/15/2012,8:18,-2.43
10/15/2012,8:24,-2.32
10/15/2012,8:30,-2.19
10/15/2012,8:36,-2.07
10/15/2012,8:42,-1.93
10/15/2012,8:48,-1.8
10/15/2012,8:54,-1.69
10/15/2012,9:00,-1.57
10/15/2012,9:06,-1.45
10/15/2012,9:12,-1.31
10/15/2012,9:18,-1.18
10/15/2012,9:24,-1.07
10/15/2012,9:30,-0.94
10/15/2012,9:36,-0.8
10/15/2012,9:42,-0.67
10/15/2012,9:48,-0.53
10/15/2012,9:54,-0.4
10/15/2012,10:00,-0.25
10/15/2012,10:06,-0.11
10/15/2012,10:12,0.02
10/15/2012,10:18,0.13
10/15/2012,10:24,0.27
10/15/2012,10:30,0.37
10/15/2012,10:36,0.51
10/15/2012,10:42,0.66
10/15/2012,10:48,0.76
10/15/2012,10:54,0.89
10/15/2012,11:00,0.97
10/15/2012,11:06,1.09
10/15/2012,11:12,1.18
10/15/2012,11:18,1.28
10/15/2012,11:24,1.38
10/15/2012,11:30,1.48
10/15/2012,11:36,1.58
10/15/2012,11:42,1.62
10/15/2012,11:48,1.69
10/15/2012,11:54,1.77
10/15/2012,12:00,1.85
10/15/2012,12:06,1.93
10/15/2012,12:12,1.97
10/15/2012,12:18,2.01
10/15/2012,12:24,2.05
10/15/2012,12:30,2.08
10/15/2012,12:36,2.08
10/15/2012,12:42,2.09
10/15/2012,12:48,2.11
10/15/2012,12:54,2.13
10/15/2012,13:00,2.13
10/15/2012,13:06,2.16
10/15/2012,13:12,2.14
10/15/2012,13:18,2.15
10/15/2012,13:24,2.13
10/15/2012,13:30,2.08
10/15/2012,13:36,2.06
10/15/2012,13:42,2.03
10/15/2012,13:48,1.97
10/15/2012,13:54,1.9
10/15/2012,14:00,1.83
10/15/2012,14:06,1.77
10/15/2012,14:12,1.72
10/15/2012,14:18,1.62
10/15/2012,14:24,1.55
10/15/2012,14:30,1.48
10/15/2012,14:36,1.39
10/15/2012,14:42,1.29
10/15/2012,14:48,1.17
10/15/2012,14:54,1.08
10/15/2012,15:00,0.97
10/15/2012,15:06,0.87
10/15/2012,15:12,0.73
10/15/2012,15:18,0.6
10/15/2012,15:24,0.45
10/15/2012,15:30,0.33
10/15/2012,15:36,0.18
10/15/2012,15:42,0.04
10/15/2012,15:48,-0.07
10/15/2012,15:54,-0.23
10/15/2012,16:00,-0.38
10/15/2012,16:06,-0.51
10/15/2012,16:12,-0.64
10/15/2012,16:18,-0.79
10/15/2012,16:24,-0.92
10/15/2012,16:30,-1.07
10/15/2012,16:36,-1.2
10/15/2012,16:42,-1.32
10/15/2012,16:48,-1.49
10/15/2012,16:54,-1.64
10/15/2012,17:00,-1.78
10/15/2012,17:06,-1.9
10/15/2012,17:12,-2.01
10/15/2012,17:18,-2.15
10/15/2012,17:24,-2.28
10/15/2012,17:30,-2.39
10/15/2012,17:36,-2.49
10/15/2012,17:42,-2.58
10/15/2012,17:48,-2.66
10/15/2012,17:54,-2.78
10/15/2012,18:00,-2.87
10/15/2012,18:06,-2.93
10/15/2012,18:12,-3.02
10/15/2012,18:18,-3.08
10/15/2012,18:24,-3.12
10/15/2012,18:30,-3.16
10/15/2012,18:36,-3.19
10/15/2012,18:42,-3.23
10/15/2012,18:48,-3.23
10/15/2012,18:54,-3.23
10/15/2012,19:00,-3.22
10/15/2012,19:06,-3.23
10/15/2012,19:12,-3.16
10/15/2012,19:18,-3.14
10/15/2012,19:24,-3.19
10/15/2012,19:30,-3.17
10/15/2012,19:36,-3.08
10/15/2012,19:42,-3.03
10/15/2012,19:48,-2.95
10/15/2012,19:54,-2.88
10/15/2012,20:00,-2.83
10/15/2012,20:06,-2.79
10/15/2012,20:12,-2.68
10/15/2012,20:18,-2.6
10/15/2012,20:24,-2.55
10/15/2012,20:30,-2.46
10/15/2012,20:36,-2.38
10/15/2012,20:42,-2.27
10/15/2012,20:48,-2.2
10/15/2012,20:54,-2.1
10/15/2012,21:00,-1.99
10/15/2012,21:06,-1.86
10/15/2012,21:12,-1.74
10/15/2012,21:18,-1.6
10/15/2012,21:24,-1.48
10/15/2012,21:30,-1.35
10/15/2012,21:36,-1.23
10/15/2012,21:42,-1.08
10/15/2012,21:48,-0.97
10/15/2012,21:54,-0.86
10/15/2012,22:00,-0.71
10/15/2012,22:06,-0.6
10/15/2012,22:12,-0.49
10/15/2012,22:18,-0.37
10/15/2012,22:24,-0.23
10/15/2012,22:30,-0.1
10/15/2012,22:36,0.04
10/15/2012,22:42,0.19
10/15/2012,22:48,0.32
10/15/2012,22:54,0.48
10/15/2012,23:00,0.59
10/15/2012,23:06,0.72
10/15/2012,23:12,0.87
10/15/2012,23:18,0.98
10/15/2012,23:24,1.05
10/15/2012,23:30,1.15
10/15/2012,23:36,1.23
10/15/2012,23:42,1.33
10/15/2012,23:48,1.38
10/15/2012,23:54,1.44
10/16/2012,0:00,1.54
10/16/2012,0:06,1.64
10/16/2012,0:12,1.68
10/16/2012,0:18,1.74
10/16/2012,0:24,1.76
10/16/2012,0:30,1.84
10/16/2012,0:36,1.89
10/16/2012,0:42,1.89
10/16/2012,0:48,1.9
10/16/2012,0:54,1.95
10/16/2012,1:00,2
10/16/2012,1:06,2
10/16/2012,1:12,1.98
10/16/2012,1:18,2.08
10/16/2012,1:24,2.12
10/16/2012,1:30,2.17
10/16/2012,1:36,2.32
10/16/2012,1:42,2.16
10/16/2012,1:48,2.02
10/16/2012,1:54,1.96
10/16/2012,2:00,1.96
10/16/2012,2:06,1.93
10/16/2012,2:12,1.87
10/16/2012,2:18,1.86
10/16/2012,2:24,1.78
10/16/2012,2:30,1.69
10/16/2012,2:36,1.72
10/16/2012,2:42,1.57
10/16/2012,2:48,1.47
10/16/2012,2:54,1.32
10/16/2012,3:00,1.24
10/16/2012,3:06,1.14
10/16/2012,3:12,0.95
10/16/2012,3:18,0.89
10/16/2012,3:24,0.74
10/16/2012,3:30,0.63
10/16/2012,3:36,0.48
10/16/2012,3:42,0.33
10/16/2012,3:48,0.27
10/16/2012,3:54,0.17
10/16/2012,4:00,0.09
10/16/2012,4:06,-0.06
10/16/2012,4:12,-0.28
10/16/2012,4:18,-0.39
10/16/2012,4:24,-0.46
10/16/2012,4:30,-0.59
10/16/2012,4:36,-0.68
10/16/2012,4:42,-0.83
10/16/2012,4:48,-0.94
10/16/2012,4:54,-1.08
10/16/2012,5:00,-1.13
10/16/2012,5:06,-1.31
10/16/2012,5:12,-1.4
10/16/2012,5:18,-1.63
