Date,Time (GMT),Verified (ft)
6/28/2020,17:54,1.92
6/28/2020,18:00,2.01
6/28/2020,18:06,2.05
6/28/2020,18:12,2.1
6/28/2020,18:18,2.16
6/28/2020,18:24,2.23
6/28/2020,18:30,2.25
6/28/2020,18:36,2.3
6/28/2020,18:42,2.35
6/28/2020,18:48,2.39
6/28/2020,18:54,2.4
6/28/2020,19:00,2.46
6/28/2020,19:06,2.48
6/28/2020,19:12,2.46
6/28/2020,19:18,2.49
6/28/2020,19:24,2.49
6/28/2020,19:30,2.49
6/28/2020,19:36,2.51
6/28/2020,19:42,2.5
6/28/2020,19:48,2.52
6/28/2020,19:54,2.51
6/28/2020,20:00,2.51
6/28/2020,20:06,2.48
6/28/2020,20:12,2.4
6/28/2020,20:18,2.38
6/28/2020,20:24,2.34
6/28/2020,20:30,2.31
6/28/2020,20:36,2.27
6/28/2020,20:42,2.29
6/28/2020,20:48,2.18
6/28/2020,20:54,2.08
6/28/2020,21:00,2.03
6/28/2020,21:06,1.98
6/28/2020,21:12,1.91
6/28/2020,21:18,1.84
6/28/2020,21:24,1.78
6/28/2020,21:30,1.68
6/28/2020,21:36,1.6
6/28/2020,21:42,1.52
6/28/2020,21:48,1.41
6/28/2020,21:54,1.3
6/28/2020,22:00,1.18
6/28/2020,22:06,1.09
6/28/2020,22:12,1
6/28/2020,22:18,0.96
6/28/2020,22:24,0.85
6/28/2020,22:30,0.76
6/28/2020,22:36,0.67
6/28/2020,22:42,0.59
6/28/2020,22:48,0.5
6/28/2020,22:54,0.38
6/28/2020,23:00,0.26
6/28/2020,23:06,0.18
6/28/2020,23:12,0.07
6/28/2020,23:18,-0.02
6/28/2020,23:24,-0.09
6/28/2020,23:30,-0.17
6/28/2020,23:36,-0.32
6/28/2020,23:42,-0.39
6/28/2020,23:48,-0.48
6/28/2020,23:54,-0.58
6/29/2020,0:00,-0.65
6/29/2020,0:06,-0.75
6/29/2020,0:12,-0.82
6/29/2020,0:18,-0.86
6/29/2020,0:24,-0.9
6/29/2020,0:30,-0.94
6/29/2020,0:36,-0.99
6/29/2020,0:42,-1.04
6/29/2020,0:48,-1.09
6/29/2020,0:54,-1.13
6/29/2020,1:00,-1.12
6/29/2020,1:06,-1.18
6/29/2020,1:12,-1.19
6/29/2020,1:18,-1.21
6/29/2020,1:24,-1.24
6/29/2020,1:30,-1.25
6/29/2020,1:36,-1.29
6/29/2020,1:42,-1.29
6/29/2020,1:48,-1.34
6/29/2020,1:54,-1.31
6/29/2020,2:00,-1.26
6/29/2020,2:06,-1.19
6/29/2020,2:12,-1.19
6/29/2020,2:18,-1.17
6/29/2020,2:24,-1.18
6/29/2020,2:30,-1.14
6/29/2020,2:36,-1.13
6/29/2020,2:42,-1.08
6/29/2020,2:48,-1.02
6/29/2020,2:54,-0.96
6/29/2020,3:00,-0.86
6/29/2020,3:06,-0.72
6/29/2020,3:12,-0.61
6/29/2020,3:18,-0.52
6/29/2020,3:24,-0.47
6/29/2020,3:30,-0.36
6/29/2020,3:36,-0.3
6/29/2020,3:42,-0.21
6/29/2020,3:48,-0.14
6/29/2020,3:54,-0.07
6/29/2020,4:00,0.05
6/29/2020,4:06,0.12
6/29/2020,4:12,0.22
6/29/2020,4:18,0.32
6/29/2020,4:24,0.43
6/29/2020,4:30,0.47
6/29/2020,4:36,0.57
6/29/2020,4:42,0.67
6/29/2020,4:48,0.77
6/29/2020,4:54,0.84
6/29/2020,5:00,0.93
6/29/2020,5:06,1.04
6/29/2020,5:12,1.17
6/29/2020,5:18,1.28
6/29/2020,5:24,1.43
6/29/2020,5:30,1.52
6/29/2020,5:36,1.62
6/29/2020,5:42,1.65
6/29/2020,5:48,1.75
6/29/2020,5:54,1.79
6/29/2020,6:00,1.84
6/29/2020,6:06,1.89
6/29/2020,6:12,1.98
6/29/2020,6:18,2.08
6/29/2020,6:24,2.11
6/29/2020,6:30,2.2
6/29/2020,6:36,2.24
6/29/2020,6:42,2.32
6/29/2020,6:48,2.38
6/29/2020,6:54,2.43
6/29/2020,7:00,2.44
6/29/2020,7:06,2.49
6/29/2020,7:12,2.51
6/29/2020,7:18,2.53
6/29/2020,7:24,2.55
6/29/2020,7:30,2.56
6/29/2020,7:36,2.61
6/29/2020,7:42,2.62
6/29/2020,7:48,2.63
6/29/2020,7:54,2.54
6/29/2020,8:00,2.53
6/29/2020,8:06,2.59
6/29/2020,8:12,2.59
6/29/2020,8:18,2.63
6/29/2020,8:24,2.6
6/29/2020,8:30,2.55
6/29/2020,8:36,2.54
6/29/2020,8:42,2.45
6/29/2020,8:48,2.37
6/29/2020,8:54,2.36
6/29/2020,9:00,2.26
6/29/2020,9:06,2.21
6/29/2020,9:12,2.17
6/29/2020,9:18,2.12
6/29/2020,9:24,2.08
6/29/2020,9:30,2.01
6/29/2020,9:36,1.98
6/29/2020,9:42,1.86
6/29/2020,9:48,1.79
6/29/2020,9:54,1.67
6/29/2020,10:00,1.58
6/29/2020,10:06,1.48
6/29/2020,10:12,1.39
6/29/2020,10:18,1.29
6/29/2020,10:24,1.24
6/29/2020,10:30,1.15
6/29/2020,10:36,1.05
6/29/2020,10:42,0.93
6/29/2020,10:48,0.83
6/29/2020,10:54,0.71
6/29/2020,11:00,0.6
6/29/2020,11:06,0.51
6/29/2020,11:12,0.4
6/29/2020,11:18,0.3
6/29/2020,11:24,0.22
6/29/2020,11:30,0.1
6/29/2020,11:36,0.01
6/29/2020,11:42,-0.08
6/29/2020,11:48,-0.17
6/29/2020,11:54,-0.33
6/29/2020,12:00,-0.44
6/29/2020,12:06,-0.51
6/29/2020,12:12,-0.6
6/29/2020,12:18,-0.69
6/29/2020,12:24,-0.8
6/29/2020,12:30,-0.81
6/29/2020,12:36,-0.9
6/29/2020,12:42,-0.98
6/29/2020,12:48,-1.1
6/29/2020,12:54,-1.18
6/29/2020,13:00,-1.23
6/29/2020,13:06,-1.28
6/29/2020,13:12,-1.37
6/29/2020,13:18,-1.44
6/29/2020,13:24,-1.51
6/29/2020,13:30,-1.53
6/29/2020,13:36,-1.53
6/29/2020,13:42,-1.56
6/29/2020,13:48,-1.58
6/29/2020,13:54,-1.58
6/29/2020,14:00,-1.55
6/29/2020,14:06,-1.53
6/29/2020,14:12,-1.5
6/29/2020,14:18,-1.48
6/29/2020,14:24,-1.52
6/29/2020,14:30,-1.49
6/29/2020,14:36,-1.43
6/29/2020,14:42,-1.37
6/29/2020,14:48,-1.32
6/29/2020,14:54,-1.33
6/29/2020,15:00,-1.29
6/29/2020,15:06,-1.26
6/29/2020,15:12,-1.2
6/29/2020,15:18,-1.14
6/29/2020,15:24,-1.07
6/29/2020,15:30,-0.96
6/29/2020,15:36,-0.9
6/29/2020,15:42,-0.84
6/29/2020,15:48,-0.74
6/29/2020,15:54,-0.66
6/29/2020,16:00,-0.63
